Repository Name,Key,JavaVersion,Type,Priority
D:\Repositories\30-seconds-of-java8,S1612,8,CODE_SMELL,MINOR
D:\Repositories\30-seconds-of-java8,S1612,8,CODE_SMELL,MINOR
D:\Repositories\AAAD,S1604,8,CODE_SMELL,MAJOR
D:\Repositories\AAAD,S1604,8,CODE_SMELL,MAJOR
D:\Repositories\AAAD,S1604,8,CODE_SMELL,MAJOR
D:\Repositories\AAAD,S1604,8,CODE_SMELL,MAJOR
D:\Repositories\AAAD,S1604,8,CODE_SMELL,MAJOR
D:\Repositories\AAAD,S1604,8,CODE_SMELL,MAJOR
D:\Repositories\AAAD,S1604,8,CODE_SMELL,MAJOR
D:\Repositories\AAAD,S1604,8,CODE_SMELL,MAJOR
D:\Repositories\AAAD,S1604,8,CODE_SMELL,MAJOR
D:\Repositories\AAAD,S1604,8,CODE_SMELL,MAJOR
D:\Repositories\AAAD,S1604,8,CODE_SMELL,MAJOR
D:\Repositories\AAAD,S1604,8,CODE_SMELL,MAJOR
D:\Repositories\AAAD,S1604,8,CODE_SMELL,MAJOR
D:\Repositories\AAAD,S1604,8,CODE_SMELL,MAJOR
D:\Repositories\AAAD,S2147,7,CODE_SMELL,MINOR
D:\Repositories\AAAD,S2147,7,CODE_SMELL,MINOR
D:\Repositories\AAAD,S4042,7,CODE_SMELL,MAJOR
D:\Repositories\aard2-android,S1155,2,CODE_SMELL,MINOR
D:\Repositories\aard2-android,S1155,2,CODE_SMELL,MINOR
D:\Repositories\aard2-android,S1161,5,CODE_SMELL,MAJOR
D:\Repositories\aard2-android,S1161,5,CODE_SMELL,MAJOR
D:\Repositories\aard2-android,S1161,5,CODE_SMELL,MAJOR
D:\Repositories\aard2-android,S1596,5,CODE_SMELL,MINOR
D:\Repositories\aard2-android,S1604,8,CODE_SMELL,MAJOR
D:\Repositories\aard2-android,S1604,8,CODE_SMELL,MAJOR
D:\Repositories\aard2-android,S1604,8,CODE_SMELL,MAJOR
D:\Repositories\aard2-android,S1604,8,CODE_SMELL,MAJOR
D:\Repositories\aard2-android,S1604,8,CODE_SMELL,MAJOR
D:\Repositories\aard2-android,S1604,8,CODE_SMELL,MAJOR
D:\Repositories\aard2-android,S1604,8,CODE_SMELL,MAJOR
D:\Repositories\aard2-android,S1604,8,CODE_SMELL,MAJOR
D:\Repositories\aard2-android,S1604,8,CODE_SMELL,MAJOR
D:\Repositories\aard2-android,S1604,8,CODE_SMELL,MAJOR
D:\Repositories\aard2-android,S1604,8,CODE_SMELL,MAJOR
D:\Repositories\aard2-android,S1604,8,CODE_SMELL,MAJOR
D:\Repositories\aard2-android,S1604,8,CODE_SMELL,MAJOR
D:\Repositories\aard2-android,S1604,8,CODE_SMELL,MAJOR
D:\Repositories\aard2-android,S1604,8,CODE_SMELL,MAJOR
D:\Repositories\aard2-android,S2147,7,CODE_SMELL,MINOR
D:\Repositories\aard2-android,S4042,7,CODE_SMELL,MAJOR
D:\Repositories\aard2-android,S4042,7,CODE_SMELL,MAJOR
D:\Repositories\aard2-android,S4719,7,CODE_SMELL,MINOR
D:\Repositories\accumulo,S1155,2,CODE_SMELL,MINOR
D:\Repositories\accumulo,S1155,2,CODE_SMELL,MINOR
D:\Repositories\accumulo,S1155,2,CODE_SMELL,MINOR
D:\Repositories\accumulo,S1155,2,CODE_SMELL,MINOR
D:\Repositories\accumulo,S1155,2,CODE_SMELL,MINOR
D:\Repositories\accumulo,S1155,2,CODE_SMELL,MINOR
D:\Repositories\accumulo,S1210,2,CODE_SMELL,MINOR
D:\Repositories\accumulo,S1602,8,CODE_SMELL,MINOR
D:\Repositories\accumulo,S1602,8,CODE_SMELL,MINOR
D:\Repositories\accumulo,S1602,8,CODE_SMELL,MINOR
D:\Repositories\accumulo,S1602,8,CODE_SMELL,MINOR
D:\Repositories\accumulo,S1602,8,CODE_SMELL,MINOR
D:\Repositories\accumulo,S1602,8,CODE_SMELL,MINOR
D:\Repositories\accumulo,S1602,8,CODE_SMELL,MINOR
D:\Repositories\accumulo,S1602,8,CODE_SMELL,MINOR
D:\Repositories\accumulo,S1602,8,CODE_SMELL,MINOR
D:\Repositories\accumulo,S1602,8,CODE_SMELL,MINOR
D:\Repositories\accumulo,S1602,8,CODE_SMELL,MINOR
D:\Repositories\accumulo,S1602,8,CODE_SMELL,MINOR
D:\Repositories\accumulo,S1602,8,CODE_SMELL,MINOR
D:\Repositories\accumulo,S1602,8,CODE_SMELL,MINOR
D:\Repositories\accumulo,S1602,8,CODE_SMELL,MINOR
D:\Repositories\accumulo,S1602,8,CODE_SMELL,MINOR
D:\Repositories\accumulo,S1602,8,CODE_SMELL,MINOR
D:\Repositories\accumulo,S1602,8,CODE_SMELL,MINOR
D:\Repositories\accumulo,S1602,8,CODE_SMELL,MINOR
D:\Repositories\accumulo,S1602,8,CODE_SMELL,MINOR
D:\Repositories\accumulo,S1602,8,CODE_SMELL,MINOR
D:\Repositories\accumulo,S1602,8,CODE_SMELL,MINOR
D:\Repositories\accumulo,S1602,8,CODE_SMELL,MINOR
D:\Repositories\accumulo,S1602,8,CODE_SMELL,MINOR
D:\Repositories\accumulo,S1602,8,CODE_SMELL,MINOR
D:\Repositories\accumulo,S1602,8,CODE_SMELL,MINOR
D:\Repositories\accumulo,S1602,8,CODE_SMELL,MINOR
D:\Repositories\accumulo,S1602,8,CODE_SMELL,MINOR
D:\Repositories\accumulo,S1602,8,CODE_SMELL,MINOR
D:\Repositories\accumulo,S1602,8,CODE_SMELL,MINOR
D:\Repositories\accumulo,S1602,8,CODE_SMELL,MINOR
D:\Repositories\accumulo,S1602,8,CODE_SMELL,MINOR
D:\Repositories\accumulo,S1602,8,CODE_SMELL,MINOR
D:\Repositories\accumulo,S1602,8,CODE_SMELL,MINOR
D:\Repositories\accumulo,S1602,8,CODE_SMELL,MINOR
D:\Repositories\accumulo,S1602,8,CODE_SMELL,MINOR
D:\Repositories\accumulo,S1602,8,CODE_SMELL,MINOR
D:\Repositories\accumulo,S1602,8,CODE_SMELL,MINOR
D:\Repositories\accumulo,S1602,8,CODE_SMELL,MINOR
D:\Repositories\accumulo,S1602,8,CODE_SMELL,MINOR
D:\Repositories\accumulo,S1602,8,CODE_SMELL,MINOR
D:\Repositories\accumulo,S1602,8,CODE_SMELL,MINOR
D:\Repositories\accumulo,S1602,8,CODE_SMELL,MINOR
D:\Repositories\accumulo,S1602,8,CODE_SMELL,MINOR
D:\Repositories\accumulo,S1602,8,CODE_SMELL,MINOR
D:\Repositories\accumulo,S1602,8,CODE_SMELL,MINOR
D:\Repositories\accumulo,S1602,8,CODE_SMELL,MINOR
D:\Repositories\accumulo,S1602,8,CODE_SMELL,MINOR
D:\Repositories\accumulo,S1602,8,CODE_SMELL,MINOR
D:\Repositories\accumulo,S1602,8,CODE_SMELL,MINOR
D:\Repositories\accumulo,S1602,8,CODE_SMELL,MINOR
D:\Repositories\accumulo,S1602,8,CODE_SMELL,MINOR
D:\Repositories\accumulo,S1602,8,CODE_SMELL,MINOR
D:\Repositories\accumulo,S1602,8,CODE_SMELL,MINOR
D:\Repositories\accumulo,S1602,8,CODE_SMELL,MINOR
D:\Repositories\accumulo,S1602,8,CODE_SMELL,MINOR
D:\Repositories\accumulo,S1602,8,CODE_SMELL,MINOR
D:\Repositories\accumulo,S1602,8,CODE_SMELL,MINOR
D:\Repositories\accumulo,S1602,8,CODE_SMELL,MINOR
D:\Repositories\accumulo,S1602,8,CODE_SMELL,MINOR
D:\Repositories\accumulo,S1602,8,CODE_SMELL,MINOR
D:\Repositories\accumulo,S1602,8,CODE_SMELL,MINOR
D:\Repositories\accumulo,S1602,8,CODE_SMELL,MINOR
D:\Repositories\accumulo,S1602,8,CODE_SMELL,MINOR
D:\Repositories\accumulo,S1602,8,CODE_SMELL,MINOR
D:\Repositories\accumulo,S1602,8,CODE_SMELL,MINOR
D:\Repositories\accumulo,S1602,8,CODE_SMELL,MINOR
D:\Repositories\accumulo,S1602,8,CODE_SMELL,MINOR
D:\Repositories\accumulo,S1604,8,CODE_SMELL,MAJOR
D:\Repositories\accumulo,S1604,8,CODE_SMELL,MAJOR
D:\Repositories\accumulo,S1604,8,CODE_SMELL,MAJOR
D:\Repositories\accumulo,S1604,8,CODE_SMELL,MAJOR
D:\Repositories\accumulo,S1604,8,CODE_SMELL,MAJOR
D:\Repositories\accumulo,S1604,8,CODE_SMELL,MAJOR
D:\Repositories\accumulo,S1604,8,CODE_SMELL,MAJOR
D:\Repositories\accumulo,S1610,8,CODE_SMELL,MINOR
D:\Repositories\accumulo,S1610,8,CODE_SMELL,MINOR
D:\Repositories\accumulo,S1610,8,CODE_SMELL,MINOR
D:\Repositories\accumulo,S1610,8,CODE_SMELL,MINOR
D:\Repositories\accumulo,S1610,8,CODE_SMELL,MINOR
D:\Repositories\accumulo,S1610,8,CODE_SMELL,MINOR
D:\Repositories\accumulo,S1610,8,CODE_SMELL,MINOR
D:\Repositories\accumulo,S1610,8,CODE_SMELL,MINOR
D:\Repositories\accumulo,S1610,8,CODE_SMELL,MINOR
D:\Repositories\accumulo,S1610,8,CODE_SMELL,MINOR
D:\Repositories\accumulo,S1610,8,CODE_SMELL,MINOR
D:\Repositories\accumulo,S1610,8,CODE_SMELL,MINOR
D:\Repositories\accumulo,S1612,8,CODE_SMELL,MINOR
D:\Repositories\accumulo,S1612,8,CODE_SMELL,MINOR
D:\Repositories\accumulo,S1612,8,CODE_SMELL,MINOR
D:\Repositories\accumulo,S1612,8,CODE_SMELL,MINOR
D:\Repositories\accumulo,S1612,8,CODE_SMELL,MINOR
D:\Repositories\accumulo,S1640,2,CODE_SMELL,MINOR
D:\Repositories\accumulo,S1640,2,CODE_SMELL,MINOR
D:\Repositories\accumulo,S1640,2,CODE_SMELL,MINOR
D:\Repositories\accumulo,S1948,"6, 7",CODE_SMELL,CRITICAL
D:\Repositories\accumulo,S1948,"6, 7",CODE_SMELL,CRITICAL
