Repository,File,Method,Count,Imports,Parameters,Annotations,Value,Href,Version,MethodParameter,FullClassPath,ModifiedValue
heritrix3,SURT.java,append,1,[java.io.BufferedInputStream;java.io.BufferedOutputStream;java.io.BufferedReader;java.io.FileInputStream;java.io.FileOutputStream;java.io.IOException;java.io.InputStream;java.io.InputStreamReader;java.io.PrintStream;java.util.regex.Matcher;org.apache.commons.httpclient.URIException;org.archive.net.UURIFactory],[java.lang.CharSequence;int;int],[],"append(CharSequence, int, int)",https://docs.oracle.com/javase/8/docs/api/java/io/PrintStream.html#append-java.lang.CharSequence-int-int-,1.5,"['CharSequence', 'int', 'int']",java.io.PrintStream,append
logstash-logback-encoder,ObjectAppendingMarker.java,equals,1,[java.io.IOException;java.util.Objects;net.logstash.logback.argument.StructuredArgument;net.logstash.logback.argument.StructuredArguments;net.logstash.logback.composite.loggingevent.ArgumentsJsonProvider;net.logstash.logback.composite.loggingevent.LogstashMarkersJsonProvider;com.fasterxml.jackson.core.JsonGenerator;com.fasterxml.jackson.databind.ObjectMapper;org.slf4j.Marker],[java.lang.Object;java.lang.Object],[],"equals(Object, Object)",https://docs.oracle.com/javase/8/docs/api/java/util/Objects.html#equals-java.lang.Object-java.lang.Object-,1.7,"['Object', 'Object']",java.util.Objects,equals
logstash-logback-encoder,ObjectFieldsAppendingMarker.java,equals,1,[java.io.IOException;java.util.Map;java.util.Objects;java.util.concurrent.ConcurrentHashMap;net.logstash.logback.argument.StructuredArgument;net.logstash.logback.argument.StructuredArguments;net.logstash.logback.composite.loggingevent.ArgumentsJsonProvider;net.logstash.logback.composite.loggingevent.LogstashMarkersJsonProvider;com.fasterxml.jackson.core.JsonGenerator;com.fasterxml.jackson.databind.JsonMappingException;com.fasterxml.jackson.databind.JsonSerializer;com.fasterxml.jackson.databind.ObjectMapper;com.fasterxml.jackson.databind.SerializerProvider;com.fasterxml.jackson.databind.util.NameTransformer;org.slf4j.Marker],[java.lang.Object;java.lang.Object],[],"equals(Object, Object)",https://docs.oracle.com/javase/8/docs/api/java/util/Objects.html#equals-java.lang.Object-java.lang.Object-,1.7,"['Object', 'Object']",java.util.Objects,equals
LGame,NativeSupport.java,put,1,[java.io.File;java.nio.Buffer;java.nio.ByteBuffer;java.nio.ByteOrder;java.nio.CharBuffer;java.nio.DoubleBuffer;java.nio.FloatBuffer;java.nio.IntBuffer;java.nio.LongBuffer;java.nio.ShortBuffer;java.security.AccessController;java.security.PrivilegedAction;loon.core.LSystem],[int[];int;int],[],"put(int[], int, int)",https://docs.oracle.com/javase/8/docs/api/java/nio/IntBuffer.html#put-int:A-int-int-,1.4,"['int[]', 'int', 'int']",java.nio.IntBuffer,put
LGame,NativeSupport.java,put,1,[java.io.File;java.nio.Buffer;java.nio.ByteBuffer;java.nio.ByteOrder;java.nio.CharBuffer;java.nio.DoubleBuffer;java.nio.FloatBuffer;java.nio.IntBuffer;java.nio.LongBuffer;java.nio.ShortBuffer;java.security.AccessController;java.security.PrivilegedAction],[byte[];int;int],[],"put(int[], int, int)",https://docs.oracle.com/javase/8/docs/api/java/nio/IntBuffer.html#put-int:A-int-int-,1.4,"['int[]', 'int', 'int']",java.nio.IntBuffer,put
LGame,LWjglGL10.java,put,1,[java.nio.Buffer;java.nio.ByteBuffer;java.nio.DoubleBuffer;java.nio.FloatBuffer;java.nio.IntBuffer;java.nio.ShortBuffer;org.lwjgl.BufferUtils;org.lwjgl.opengl.GL11;org.lwjgl.opengl.GL12;org.lwjgl.opengl.GL13],[float[];int;int],[],"put(int[], int, int)",https://docs.oracle.com/javase/8/docs/api/java/nio/IntBuffer.html#put-int:A-int-int-,1.4,"['int[]', 'int', 'int']",java.nio.IntBuffer,put
LGame,GLEx.java,put,1,[java.nio.FloatBuffer;java.nio.IntBuffer;loon.core.LSystem;loon.core.geom.Matrix;loon.core.geom.Polygon;loon.core.geom.RectBox;loon.core.geom.Shape;loon.core.geom.Triangle;loon.core.geom.Triangle2f;loon.core.geom.Vector2f;loon.core.graphics.LColor;loon.core.graphics.LFont;loon.core.graphics.LImage;loon.core.graphics.device.LGraphics;loon.core.graphics.device.LGraphicsTrans;loon.jni.NativeSupport;loon.utils.GLUtils;loon.utils.MathUtils;loon.utils.StringUtils],[float[];int;int],[],"put(int[], int, int)",https://docs.oracle.com/javase/8/docs/api/java/nio/IntBuffer.html#put-int:A-int-int-,1.4,"['int[]', 'int', 'int']",java.nio.IntBuffer,put
LGame,NativeSupport.java,put,1,[java.io.File;java.nio.Buffer;java.nio.ByteBuffer;java.nio.ByteOrder;java.nio.CharBuffer;java.nio.DoubleBuffer;java.nio.FloatBuffer;java.nio.IntBuffer;java.nio.LongBuffer;java.nio.ShortBuffer;java.security.AccessController;java.security.PrivilegedAction],[int[];int;int],[],"put(int[], int, int)",https://docs.oracle.com/javase/8/docs/api/java/nio/IntBuffer.html#put-int:A-int-int-,1.4,"['int[]', 'int', 'int']",java.nio.IntBuffer,put
LGame,NativeSupport.java,put,1,[java.io.File;java.nio.Buffer;java.nio.ByteBuffer;java.nio.ByteOrder;java.nio.CharBuffer;java.nio.DoubleBuffer;java.nio.FloatBuffer;java.nio.IntBuffer;java.nio.LongBuffer;java.nio.ShortBuffer;java.security.AccessController;java.security.PrivilegedAction],[double[];int;int],[],"put(int[], int, int)",https://docs.oracle.com/javase/8/docs/api/java/nio/IntBuffer.html#put-int:A-int-int-,1.4,"['int[]', 'int', 'int']",java.nio.IntBuffer,put
LGame,NativeSupport.java,put,1,[java.io.File;java.nio.Buffer;java.nio.ByteBuffer;java.nio.ByteOrder;java.nio.CharBuffer;java.nio.DoubleBuffer;java.nio.FloatBuffer;java.nio.IntBuffer;java.nio.LongBuffer;java.nio.ShortBuffer;java.security.AccessController;java.security.PrivilegedAction;loon.core.LSystem],[char[];int;int],[],"put(int[], int, int)",https://docs.oracle.com/javase/8/docs/api/java/nio/IntBuffer.html#put-int:A-int-int-,1.4,"['int[]', 'int', 'int']",java.nio.IntBuffer,put
