Repository,File,Method,Count,Imports,Parameters,Annotations,Value,Href,Version,MethodParameter,FullClassPath,ModifiedValue
blaze-persistence,AbstractPersistenceTest.java,getProperty,1,[com.blazebit.persistence.spi.JoinTable;com.blazebit.persistence.testsuite.base.jpa.AbstractJpaPersistenceTest;com.blazebit.persistence.testsuite.base.jpa.MutablePersistenceUnitInfo;com.blazebit.persistence.testsuite.base.jpa.RelationalModelAccessor;com.blazebit.persistence.testsuite.base.jpa.cleaner.DatabaseCleaner;org.hibernate.Version;org.hibernate.dialect.SQLServer2012Dialect;org.hibernate.engine.spi.SessionImplementor;org.hibernate.engine.spi.Status;org.hibernate.persister.entity.AbstractEntityPersister;javax.persistence.EntityManager;javax.sql.DataSource;java.io.ByteArrayOutputStream;java.io.InputStream;java.lang.invoke.MethodHandles;java.lang.reflect.Field;java.lang.reflect.Method;java.net.URL;java.security.ProtectionDomain;java.sql.Connection;java.util.Collections;java.util.List;java.util.Map;java.util.Properties;java.util.function.Consumer],[java.lang.String;unknown],[],"getProperty(String, String)",https://docs.oracle.com/javase/8/docs/api/java/util/Properties.html#getProperty-java.lang.String-java.lang.String-,JDK1.0,"['String', 'String']",java.util.Properties,getProperty
blaze-persistence,AbstractJpaPersistenceTest.java,getProperty,4,[com.blazebit.persistence.Criteria;com.blazebit.persistence.CriteriaBuilderFactory;com.blazebit.persistence.impl.CriteriaBuilderConfigurationImpl;com.blazebit.persistence.spi.CriteriaBuilderConfiguration;com.blazebit.persistence.spi.DbmsDialect;com.blazebit.persistence.spi.ExtendedQuerySupport;com.blazebit.persistence.spi.JoinTable;com.blazebit.persistence.spi.JpaProvider;com.blazebit.persistence.testsuite.base.jpa.assertion.AssertStatementBuilder;com.blazebit.persistence.testsuite.base.jpa.cleaner.DB2DatabaseCleaner;com.blazebit.persistence.testsuite.base.jpa.cleaner.DatabaseCleaner;com.blazebit.persistence.testsuite.base.jpa.cleaner.H2DatabaseCleaner;com.blazebit.persistence.testsuite.base.jpa.cleaner.MSSQLDatabaseCleaner;com.blazebit.persistence.testsuite.base.jpa.cleaner.MySQL5DatabaseCleaner;com.blazebit.persistence.testsuite.base.jpa.cleaner.MySQL8DatabaseCleaner;com.blazebit.persistence.testsuite.base.jpa.cleaner.OracleDatabaseCleaner;com.blazebit.persistence.testsuite.base.jpa.cleaner.PostgreSQLDatabaseCleaner;com.zaxxer.hikari.HikariConfig;com.zaxxer.hikari.HikariDataSource;net.ttddyy.dsproxy.ExecutionInfo;net.ttddyy.dsproxy.QueryInfo;net.ttddyy.dsproxy.listener.QueryExecutionListener;net.ttddyy.dsproxy.support.ProxyDataSourceBuilder;org.junit.After;org.junit.AfterClass;org.junit.Assert;org.junit.Before;org.junit.BeforeClass;javax.persistence.EntityManager;javax.persistence.EntityManagerFactory;javax.persistence.PersistenceException;javax.persistence.metamodel.EntityType;javax.persistence.metamodel.Metamodel;javax.persistence.metamodel.PluralAttribute;javax.persistence.spi.PersistenceProvider;javax.persistence.spi.PersistenceProviderResolver;javax.persistence.spi.PersistenceProviderResolverHolder;javax.persistence.spi.PersistenceUnitInfo;javax.persistence.spi.PersistenceUnitTransactionType;javax.sql.DataSource;java.io.PrintWriter;java.io.StringWriter;java.lang.reflect.Field;java.net.URL;java.sql.Connection;java.sql.SQLException;java.util.ArrayList;java.util.Arrays;java.util.Collections;java.util.HashMap;java.util.HashSet;java.util.List;java.util.Locale;java.util.Map;java.util.Objects;java.util.Properties;java.util.Set;java.util.TimeZone;java.util.function.Consumer;java.util.logging.LogManager;java.util.logging.Logger;java.util.stream.Collectors;org.junit.Assert.assertEquals;org.junit.Assert.assertTrue],[java.lang.String;java.lang.String],[],"getProperty(String, String)",https://docs.oracle.com/javase/8/docs/api/java/util/Properties.html#getProperty-java.lang.String-java.lang.String-,JDK1.0,"['String', 'String']",java.util.Properties,getProperty
moquette,QueuePool.java,getProperty,2,[org.slf4j.Logger;org.slf4j.LoggerFactory;java.io.File;java.io.FileNotFoundException;java.io.FileReader;java.io.FileWriter;java.io.IOException;java.nio.MappedByteBuffer;java.nio.channels.FileChannel;java.nio.file.Files;java.nio.file.Path;java.nio.file.StandardOpenOption;java.util.LinkedList;java.util.List;java.util.Map;java.util.Objects;java.util.Optional;java.util.Properties;java.util.Set;java.util.TreeSet;java.util.concurrent.ConcurrentHashMap;java.util.concurrent.ConcurrentMap;java.util.concurrent.ConcurrentSkipListSet;java.util.concurrent.locks.ReentrantLock;java.util.stream.Collectors],[java.lang.String;java.lang.String],[],"getProperty(String, String)",https://docs.oracle.com/javase/8/docs/api/java/util/Properties.html#getProperty-java.lang.String-java.lang.String-,JDK1.0,"['String', 'String']",java.util.Properties,getProperty
moquette,Server.java,getProperty,1,[io.moquette.BrokerConstants;io.moquette.broker.config.FileResourceLoader;io.moquette.broker.config.IConfig;io.moquette.broker.config.IResourceLoader;io.moquette.broker.config.MemoryConfig;io.moquette.broker.config.ResourceLoaderConfig;io.moquette.broker.security.ACLFileParser;io.moquette.broker.security.AcceptAllAuthenticator;io.moquette.broker.security.DenyAllAuthorizatorPolicy;io.moquette.broker.security.IAuthenticator;io.moquette.broker.security.IAuthorizatorPolicy;io.moquette.broker.security.PermitAllAuthorizatorPolicy;io.moquette.broker.security.ResourceAuthenticator;io.moquette.broker.unsafequeues.QueueException;io.moquette.interception.InterceptHandler;io.moquette.persistence.H2Builder;io.moquette.persistence.MemorySessionsRepository;io.moquette.persistence.MemorySubscriptionsRepository;io.moquette.interception.BrokerInterceptor;io.moquette.broker.subscriptions.CTrieSubscriptionDirectory;io.moquette.broker.subscriptions.ISubscriptionsDirectory;io.moquette.persistence.SegmentQueueRepository;io.netty.handler.codec.mqtt.MqttPublishMessage;org.slf4j.Logger;org.slf4j.LoggerFactory;java.io.BufferedReader;java.io.File;java.io.FileWriter;java.io.IOException;java.io.InputStreamReader;java.io.OutputStream;java.lang.reflect.InvocationTargetException;java.net.HttpURLConnection;java.net.URL;java.nio.charset.StandardCharsets;java.nio.file.Files;java.nio.file.Path;java.nio.file.Paths;java.text.ParseException;java.time.Clock;java.util.ArrayList;java.util.Collection;java.util.Collections;java.util.List;java.util.Properties;java.util.UUID;java.util.concurrent.Executors;java.util.concurrent.ScheduledExecutorService;io.moquette.broker.Session.INFINITE_EXPIRY;io.moquette.logging.LoggingUtils.getInterceptorIds],[java.lang.String;null],[],"getProperty(String, String)",https://docs.oracle.com/javase/8/docs/api/java/util/Properties.html#getProperty-java.lang.String-java.lang.String-,JDK1.0,"['String', 'String']",java.util.Properties,getProperty
venice,ApacheKafkaProducerConfig.java,getProperty,3,[com.linkedin.venice.pubsub.PubSubConstants.PUBSUB_PRODUCER_USE_HIGH_THROUGHPUT_DEFAULTS;com.linkedin.venice.exceptions.VeniceException;com.linkedin.venice.serialization.KafkaKeySerializer;com.linkedin.venice.serialization.avro.KafkaValueSerializer;com.linkedin.venice.utils.KafkaSSLUtils;com.linkedin.venice.utils.VeniceProperties;java.util.Properties;org.apache.kafka.clients.producer.ProducerConfig;org.apache.logging.log4j.LogManager;org.apache.logging.log4j.Logger],[java.lang.String;java.lang.String],[],"getProperty(String, String)",https://docs.oracle.com/javase/8/docs/api/java/util/Properties.html#getProperty-java.lang.String-java.lang.String-,JDK1.0,"['String', 'String']",java.util.Properties,getProperty
venice,VeniceServerWrapper.java,getProperty,4,[com.linkedin.davinci.store.rocksdb.RocksDBServerConfig.ROCKSDB_OPTIONS_USE_DIRECT_READS;com.linkedin.davinci.store.rocksdb.RocksDBServerConfig.ROCKSDB_PLAIN_TABLE_FORMAT_ENABLED;com.linkedin.venice.ConfigKeys.ADMIN_PORT;com.linkedin.venice.ConfigKeys.CLUSTER_DISCOVERY_D2_SERVICE;com.linkedin.venice.ConfigKeys.DATA_BASE_PATH;com.linkedin.venice.ConfigKeys.ENABLE_SERVER_ALLOW_LIST;com.linkedin.venice.ConfigKeys.KAFKA_READ_CYCLE_DELAY_MS;com.linkedin.venice.ConfigKeys.KAFKA_SECURITY_PROTOCOL;com.linkedin.venice.ConfigKeys.LISTENER_PORT;com.linkedin.venice.ConfigKeys.MAX_ONLINE_OFFLINE_STATE_TRANSITION_THREAD_NUMBER;com.linkedin.venice.ConfigKeys.PARTICIPANT_MESSAGE_CONSUMPTION_DELAY_MS;com.linkedin.venice.ConfigKeys.PERSISTENCE_TYPE;com.linkedin.venice.ConfigKeys.SERVER_DISK_FULL_THRESHOLD;com.linkedin.venice.ConfigKeys.SERVER_HTTP2_INBOUND_ENABLED;com.linkedin.venice.ConfigKeys.SERVER_INGESTION_ISOLATION_APPLICATION_PORT;com.linkedin.venice.ConfigKeys.SERVER_INGESTION_ISOLATION_SERVICE_PORT;com.linkedin.venice.ConfigKeys.SERVER_NETTY_GRACEFUL_SHUTDOWN_PERIOD_SECONDS;com.linkedin.venice.ConfigKeys.SERVER_PARTITION_GRACEFUL_DROP_DELAY_IN_SECONDS;com.linkedin.venice.ConfigKeys.SERVER_PROMOTION_TO_LEADER_REPLICA_DELAY_SECONDS;com.linkedin.venice.ConfigKeys.SERVER_REST_SERVICE_STORAGE_THREAD_NUM;com.linkedin.venice.ConfigKeys.SERVER_SSL_HANDSHAKE_THREAD_POOL_SIZE;com.linkedin.venice.ConfigKeys.SYSTEM_SCHEMA_CLUSTER_NAME;com.linkedin.venice.meta.PersistenceType.ROCKS_DB;com.linkedin.davinci.config.VeniceConfigLoader;com.linkedin.venice.client.store.ClientConfig;com.linkedin.venice.exceptions.VeniceException;com.linkedin.venice.helix.AllowlistAccessor;com.linkedin.venice.helix.ZkAllowlistAccessor;com.linkedin.venice.pubsub.api.PubSubClientsFactory;com.linkedin.venice.security.SSLFactory;com.linkedin.venice.server.VeniceServer;com.linkedin.venice.server.VeniceServerContext;com.linkedin.venice.servicediscovery.ServiceDiscoveryAnnouncer;com.linkedin.venice.tehuti.MetricsAware;com.linkedin.venice.utils.ForkedJavaProcess;com.linkedin.venice.utils.PropertyBuilder;com.linkedin.venice.utils.SslUtils;com.linkedin.venice.utils.TestUtils;com.linkedin.venice.utils.Utils;com.linkedin.venice.utils.VeniceProperties;io.tehuti.metrics.MetricsRepository;java.io.File;java.io.IOException;java.util.ArrayList;java.util.Arrays;java.util.List;java.util.Map;java.util.Objects;java.util.Optional;java.util.Properties;java.util.concurrent.TimeUnit;org.apache.commons.cli.CommandLine;org.apache.commons.cli.CommandLineParser;org.apache.commons.cli.DefaultParser;org.apache.commons.cli.Option;org.apache.commons.cli.Options;org.apache.commons.io.FileUtils;org.apache.kafka.common.protocol.SecurityProtocol;org.apache.logging.log4j.LogManager;org.apache.logging.log4j.Logger],[java.lang.String;java.lang.String],[],"getProperty(String, String)",https://docs.oracle.com/javase/8/docs/api/java/util/Properties.html#getProperty-java.lang.String-java.lang.String-,JDK1.0,"['String', 'String']",java.util.Properties,getProperty
classgraph,VersionFinder.java,getProperty,2,[java.io.File;java.io.IOException;java.io.InputStream;java.net.URL;java.nio.file.Files;java.nio.file.Path;java.nio.file.Paths;java.util.ArrayList;java.util.List;java.util.Locale;java.util.Properties;javax.xml.XMLConstants;javax.xml.parsers.DocumentBuilderFactory;javax.xml.parsers.ParserConfigurationException;javax.xml.xpath.XPathConstants;javax.xml.xpath.XPathFactory;javax.xml.xpath.XPathFactoryConfigurationException;org.w3c.dom.Document;io.github.classgraph.ClassGraph],[java.lang.String;java.lang.String],[],"getProperty(String, String)",https://docs.oracle.com/javase/8/docs/api/java/util/Properties.html#getProperty-java.lang.String-java.lang.String-,JDK1.0,"['String', 'String']",java.util.Properties,getProperty
bladecoder-adventure-engine,Config.java,getProperty,2,[java.io.IOException;java.util.Properties;org.bladecoder.engine.assets.EngineAssetManager],[java.lang.String;java.lang.String],[],"getProperty(String, String)",https://docs.oracle.com/javase/8/docs/api/java/util/Properties.html#getProperty-java.lang.String-java.lang.String-,JDK1.0,"['String', 'String']",java.util.Properties,getProperty
ignite,GridClientConfiguration.java,getProperty,2,[org.apache.ignite.portables;org.gridgain.client.balancer;org.gridgain.client.marshaller;org.gridgain.client.marshaller.jdk;org.gridgain.client.marshaller.optimized;org.gridgain.client.ssl;org.gridgain.grid.security;org.gridgain.grid.util.typedef;org.gridgain.grid.util.typedef.internal;org.jetbrains.annotations;java.net;java.util;java.util.concurrent],[java.lang.String;java.lang.String],[],"getProperty(String, String)",https://docs.oracle.com/javase/8/docs/api/java/util/Properties.html#getProperty-java.lang.String-java.lang.String-,JDK1.0,"['String', 'String']",java.util.Properties,getProperty
ignite,GridKernal.java,getProperty,2,[org.apache.ignite;org.apache.ignite.cluster;org.apache.ignite.configuration;org.apache.ignite.lang;org.apache.ignite.lifecycle;org.apache.ignite.marshaller;org.apache.ignite.marshaller.optimized;org.apache.ignite.mbean;org.apache.ignite.plugin;org.apache.ignite.product;org.gridgain.grid;org.gridgain.grid.cache;org.gridgain.grid.dr;org.gridgain.grid.hadoop;org.gridgain.grid.kernal.managers;org.gridgain.grid.kernal.managers.checkpoint;org.gridgain.grid.kernal.managers.collision;org.gridgain.grid.kernal.managers.communication;org.gridgain.grid.kernal.managers.deployment;org.gridgain.grid.kernal.managers.discovery;org.gridgain.grid.kernal.managers.eventstorage;org.gridgain.grid.kernal.managers.failover;org.gridgain.grid.kernal.managers.indexing;org.gridgain.grid.kernal.managers.loadbalancer;org.gridgain.grid.kernal.managers.securesession;org.gridgain.grid.kernal.managers.security;org.gridgain.grid.kernal.managers.swapspace;org.gridgain.grid.kernal.processors;org.gridgain.grid.kernal.processors.affinity;org.gridgain.grid.kernal.processors.cache;org.gridgain.grid.kernal.processors.clock;org.gridgain.grid.kernal.processors.closure;org.gridgain.grid.kernal.processors.continuous;org.gridgain.grid.kernal.processors.dataload;org.gridgain.grid.kernal.processors.email;org.gridgain.grid.kernal.processors.interop;org.gridgain.grid.kernal.processors.job;org.gridgain.grid.kernal.processors.jobmetrics;org.gridgain.grid.kernal.processors.license;org.gridgain.grid.kernal.processors.offheap;org.gridgain.grid.kernal.processors.plugin;org.gridgain.grid.kernal.processors.port;org.gridgain.grid.kernal.processors.portable;org.gridgain.grid.kernal.processors.resource;org.gridgain.grid.kernal.processors.rest;org.gridgain.grid.kernal.processors.segmentation;org.gridgain.grid.kernal.processors.service;org.gridgain.grid.kernal.processors.session;org.gridgain.grid.kernal.processors.streamer;org.gridgain.grid.kernal.processors.task;org.gridgain.grid.kernal.processors.timeout;org.gridgain.grid.security;org.gridgain.grid.spi;org.gridgain.grid.spi.authentication;org.gridgain.grid.spi.authentication.noop;org.gridgain.grid.spi.securesession.noop;org.gridgain.grid.util;org.gridgain.grid.util.future;org.gridgain.grid.util.lang;org.gridgain.grid.util.nodestart;org.gridgain.grid.util.tostring;org.gridgain.grid.util.typedef;org.gridgain.grid.util.typedef.internal;org.jetbrains.annotations;javax.management;java.io;java.lang.management;java.lang.reflect;java.net;java.text;java.util;java.util.concurrent;java.util.concurrent.atomic;org.apache.ignite.lifecycle.LifecycleEventType;org.gridgain.grid.GridSystemProperties;org.gridgain.grid.kernal.GridComponentType;org.gridgain.grid.kernal.GridKernalState;org.gridgain.grid.kernal.GridNodeAttributes;org.gridgain.grid.kernal.GridProductImpl;org.gridgain.grid.kernal.processors.license.GridLicenseSubsystem;org.gridgain.grid.util.nodestart.GridNodeStartUtils],[java.lang.String;java.lang.String],[],"getProperty(String, String)",https://docs.oracle.com/javase/8/docs/api/java/util/Properties.html#getProperty-java.lang.String-java.lang.String-,JDK1.0,"['String', 'String']",java.util.Properties,getProperty
