Repository,File,Method,Count,Imports,Parameters,Annotations,Value,Href,Version,MethodParameter,FullClassPath,ModifiedValue
activej,FileSystemTest.java,mismatch,2,[io.activej.bytebuf.ByteBuf;io.activej.bytebuf.ByteBufs;io.activej.common.MemSize;io.activej.common.exception.TruncatedDataException;io.activej.common.exception.UnexpectedDataException;io.activej.csp.consumer.ChannelConsumer;io.activej.csp.file.ChannelFileReader;io.activej.csp.file.ChannelFileWriter;io.activej.csp.supplier.ChannelSupplier;io.activej.csp.supplier.ChannelSuppliers;io.activej.fs.exception;io.activej.promise.Promises;io.activej.reactor.Reactor;io.activej.test.ExpectedException;io.activej.test.rules.ByteBufRule;io.activej.test.rules.EventloopRule;org.junit.Before;org.junit.ClassRule;org.junit.Rule;org.junit.Test;org.junit.rules.TemporaryFolder;java.io.IOException;java.nio.file.Files;java.nio.file.Path;java.nio.file.Paths;java.util.List;java.util.Map;java.util.Set;java.util.concurrent.ThreadLocalRandom;java.util.stream.IntStream;java.util.stream.Stream;io.activej.bytebuf.ByteBufStrings.wrapUtf8;io.activej.common.Utils.last;io.activej.fs.FileSystem.DEFAULT_TEMP_DIR;io.activej.fs.Utils.createEmptyDirectories;io.activej.promise.TestUtils.await;io.activej.promise.TestUtils.awaitException;java.nio.charset.StandardCharsets.UTF_8;java.nio.file.StandardOpenOption.CREATE;java.nio.file.StandardOpenOption.TRUNCATE_EXISTING;java.util.concurrent.Executors.newCachedThreadPool;java.util.stream.Collectors.toSet;org.hamcrest.MatcherAssert.assertThat;org.hamcrest.Matchers.instanceOf;org.junit.Assert;org.junit.Assume.assumeTrue],[java.nio.file.Path;java.nio.file.Path],[],"mismatch(Path, Path)","https://docs.oracle.com/en/java/javase/17/docs/api//java.base/java/nio/file/Files.html#mismatch(java.nio.file.Path,java.nio.file.Path)",12,"['Path', 'Path']",.java.base.java.nio.file.Files,mismatch
activej,Utils.java,mismatch,2,[io.activej.common.function.ConsumerEx;io.activej.fs.exception.FileSystemBatchException;io.activej.fs.exception.FileSystemScalarException;java.io.IOException;java.io.InputStream;java.nio.file.Files;java.nio.file.Path;java.nio.file.Paths;java.util.ArrayList;java.util.List;java.util.Map;java.util.Set;java.util.concurrent.ThreadLocalRandom;java.util.function.BiConsumer;java.util.stream.Stream;java.nio.charset.StandardCharsets.UTF_8;java.util.stream.Collectors;org.hamcrest.MatcherAssert.assertThat;org.hamcrest.Matchers.instanceOf;org.junit.Assert],[java.nio.file.Path;java.nio.file.Path],[],"mismatch(Path, Path)","https://docs.oracle.com/en/java/javase/17/docs/api//java.base/java/nio/file/Files.html#mismatch(java.nio.file.Path,java.nio.file.Path)",12,"['Path', 'Path']",.java.base.java.nio.file.Files,mismatch
Iris,MixinBufferBuilder_SegmentRendering.java,put,1,[com.mojang.blaze3d.vertex.BufferBuilder;com.mojang.blaze3d.vertex.VertexFormat;net.coderbot.batchedentityrendering.impl.BufferBuilderExt;net.minecraft.util.Mth;org.spongepowered.asm.mixin.Final;org.spongepowered.asm.mixin.Mixin;org.spongepowered.asm.mixin.Shadow;org.spongepowered.asm.mixin.Unique;org.spongepowered.asm.mixin.injection.At;org.spongepowered.asm.mixin.injection.Inject;org.spongepowered.asm.mixin.injection.callback.CallbackInfo;com.mojang.blaze3d.vertex.BufferBuilder;com.mojang.blaze3d.vertex.VertexFormat;org.spongepowered.asm.mixin.injection.callback.CallbackInfoReturnable;java.nio.ByteBuffer;java.util.List],[int;java.nio.ByteBuffer;int;int],[],"put(int, ByteBuffer, int, int)","https://docs.oracle.com/en/java/javase/17/docs/api//java.base/java/nio/ByteBuffer.html#put(int,java.nio.ByteBuffer,int,int)",16,"['int', 'ByteBuffer', 'int', 'int']",.java.base.java.nio.ByteBuffer,put
jabref,BackupManager.java,mismatch,1,[java.io.IOException;java.io.Writer;java.nio.charset.Charset;java.nio.charset.StandardCharsets;java.nio.file.Files;java.nio.file.Path;java.nio.file.StandardCopyOption;java.nio.file.attribute.FileTime;java.util.HashSet;java.util.List;java.util.Optional;java.util.Queue;java.util.Set;java.util.concurrent.BlockingQueue;java.util.concurrent.ExecutorService;java.util.concurrent.LinkedBlockingQueue;java.util.concurrent.ScheduledThreadPoolExecutor;java.util.concurrent.TimeUnit;org.jabref.logic.bibtex.InvalidFieldValueException;org.jabref.logic.exporter.AtomicFileWriter;org.jabref.logic.exporter.BibWriter;org.jabref.logic.exporter.BibtexDatabaseWriter;org.jabref.logic.exporter.SaveConfiguration;org.jabref.logic.util.BackupFileType;org.jabref.logic.util.CoarseChangeFilter;org.jabref.logic.util.io.BackupFileUtil;org.jabref.model.database.BibDatabaseContext;org.jabref.model.database.event.BibDatabaseContextChangedEvent;org.jabref.model.entry.BibEntryTypesManager;org.jabref.preferences.PreferencesService;com.google.common.eventbus.Subscribe;org.slf4j.Logger;org.slf4j.LoggerFactory],[java.nio.file.Path;? super java.nio.file.Path],[],"mismatch(Path, Path)","https://docs.oracle.com/en/java/javase/17/docs/api//java.base/java/nio/file/Files.html#mismatch(java.nio.file.Path,java.nio.file.Path)",12,"['Path', 'Path']",.java.base.java.nio.file.Files,mismatch
