Value;Href;Version;MethodParameter;FullClassPath;ModifiedValue
decrementExact(int);https://docs.oracle.com/en/java/javase/17/docs/api//java.base/java/lang/StrictMath.html#decrementExact(int);14;['int'];.java.base.java.lang.StrictMath;decrementExact
decrementExact(long);https://docs.oracle.com/en/java/javase/17/docs/api//java.base/java/lang/StrictMath.html#decrementExact(long);14;['long'];.java.base.java.lang.StrictMath;decrementExact
DEFAULT_CASE_LABEL;https://docs.oracle.com/en/java/javase/17/docs/api//jdk.compiler/com/sun/source/tree/Tree.Kind.html#DEFAULT_CASE_LABEL;17;[''];.jdk.compiler.com.sun.source.tree.Tree.Kind;DEFAULT_CASE_LABEL
describeConstable();https://docs.oracle.com/en/java/javase/17/docs/api//java.base/java/lang/Boolean.html#describeConstable();15;[''];.java.base.java.lang.Boolean;describeConstable
describeConstable();https://docs.oracle.com/en/java/javase/17/docs/api//java.base/java/lang/Byte.html#describeConstable();15;[''];.java.base.java.lang.Byte;describeConstable
describeConstable();https://docs.oracle.com/en/java/javase/17/docs/api//java.base/java/lang/Character.html#describeConstable();15;[''];.java.base.java.lang.Character;describeConstable
describeConstable();https://docs.oracle.com/en/java/javase/17/docs/api//java.base/java/lang/Class.html#describeConstable();12;[''];.java.base.java.lang.Class;describeConstable
describeConstable();https://docs.oracle.com/en/java/javase/17/docs/api//java.base/java/lang/Double.html#describeConstable();12;[''];.java.base.java.lang.Double;describeConstable
describeConstable();https://docs.oracle.com/en/java/javase/17/docs/api//java.base/java/lang/Enum.html#describeConstable();12;[''];.java.base.java.lang.Enum;describeConstable
describeConstable();https://docs.oracle.com/en/java/javase/17/docs/api//java.base/java/lang/Float.html#describeConstable();12;[''];.java.base.java.lang.Float;describeConstable
describeConstable();https://docs.oracle.com/en/java/javase/17/docs/api//java.base/java/lang/Integer.html#describeConstable();12;[''];.java.base.java.lang.Integer;describeConstable
describeConstable();https://docs.oracle.com/en/java/javase/17/docs/api//java.base/java/lang/invoke/MethodHandle.html#describeConstable();12;[''];.java.base.java.lang.invoke.MethodHandle;describeConstable
describeConstable();https://docs.oracle.com/en/java/javase/17/docs/api//java.base/java/lang/invoke/MethodType.html#describeConstable();12;[''];.java.base.java.lang.invoke.MethodType;describeConstable
describeConstable();https://docs.oracle.com/en/java/javase/17/docs/api//java.base/java/lang/invoke/VarHandle.html#describeConstable();12;[''];.java.base.java.lang.invoke.VarHandle;describeConstable
describeConstable();https://docs.oracle.com/en/java/javase/17/docs/api//java.base/java/lang/Long.html#describeConstable();12;[''];.java.base.java.lang.Long;describeConstable
describeConstable();https://docs.oracle.com/en/java/javase/17/docs/api//java.base/java/lang/Short.html#describeConstable();15;[''];.java.base.java.lang.Short;describeConstable
describeConstable();https://docs.oracle.com/en/java/javase/17/docs/api//java.base/java/lang/String.html#describeConstable();12;[''];.java.base.java.lang.String;describeConstable
descriptorString();https://docs.oracle.com/en/java/javase/17/docs/api//java.base/java/lang/Class.html#descriptorString();12;[''];.java.base.java.lang.Class;descriptorString
descriptorString();https://docs.oracle.com/en/java/javase/17/docs/api//java.base/java/lang/invoke/MethodType.html#descriptorString();12;[''];.java.base.java.lang.invoke.MethodType;descriptorString
DIVES_AKURU;https://docs.oracle.com/en/java/javase/17/docs/api//java.base/java/lang/Character.UnicodeScript.html#DIVES_AKURU;15;[''];.java.base.java.lang.Character.UnicodeScript;DIVES_AKURU
